index_value,Company,TypeName,Inches,resolution_width,resolution_height,touchscreen,cpu_brand,cpu_speed,cpu_name,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,Price
1,Apple,Ultrabook,13.3,2560,1600,0,Intel,2.3, Core i5,8,SSD,128,0,Intel,macos,1.37,71379
2,Apple,Ultrabook,13.3,1440,900,0,Intel,1.8, Core i5,8,Flash Storage,128,0,Intel,macos,1.34,47896
3,HP,Notebook,15.6,1920,1080,0,Intel,2.5, Core i5,8,SSD,256,0,Intel,N/A,1.86,30636
4,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.7, Core i7,16,SSD,512,0,AMD,macos,1.83,135195
5,Apple,Ultrabook,13.3,2560,1600,0,Intel,3.1, Core i5,8,SSD,256,0,Intel,macos,1.37,96096
6,Acer,Notebook,15.6,1366,768,0,AMD,3, A9-Series 9420,4,HDD,500,0,AMD,windows,2.1,21312
7,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.2, Core i7,16,Flash Storage,256,0,Intel,macos,2.04,114018
8,Apple,Ultrabook,13.3,1440,900,0,Intel,1.8, Core i5,8,Flash Storage,256,0,Intel,macos,1.34,61736
9,Asus,Ultrabook,14,1920,1080,0,Intel,1.8, Core i7,16,SSD,512,0,Nvidia,windows,1.3,79654
10,Acer,Ultrabook,14,1920,1080,0,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.6,41026
11,HP,Notebook,15.6,1366,768,0,Intel,2.5, Core i5,4,HDD,500,0,Intel,N/A,1.86,20987
12,HP,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,HDD,500,0,Intel,N/A,1.86,18381
13,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.8, Core i7,16,SSD,256,0,AMD,macos,1.83,130002
14,Dell,Notebook,15.6,1920,1080,0,Intel,2, Core i3,4,SSD,256,0,AMD,windows,2.2,26581
15,Apple,Ultrabook,12,2304,1440,0,Intel,1.2, Core M,8,SSD,256,0,Intel,macos,0.92,67261
16,Apple,Ultrabook,13.3,2560,1600,0,Intel,2.3, Core i5,8,SSD,256,0,Intel,macos,1.37,80908
17,Dell,Notebook,15.6,1920,1080,0,Intel,2.7, Core i7,8,SSD,256,0,AMD,windows,2.2,39694
18,Apple,Ultrabook,15.4,2880,1800,0,Intel,2.9, Core i7,16,SSD,512,0,AMD,macos,1.83,152274
19,Lenovo,Notebook,15.6,1920,1080,0,Intel,2.4, Core i3,8,HDD,1024,0,Nvidia,N/A,2.2,26587
20,Dell,Ultrabook,13.3,1920,1080,1,Intel,1.6, Core i5,8,SSD,128,0,Intel,windows,1.22,52161
22,Lenovo,Gaming,15.6,1920,1080,0,Intel,2.5, Core i5,8,Hybrid,128,1024,Nvidia,windows,2.5,53227
23,HP,Notebook,15.6,1366,768,0,AMD,1.5, E-Series E2-9000e,4,HDD,500,0,AMD,N/A,1.86,13746
24,Dell,2 in 1 Convertible,13.3,1920,1080,1,Intel,1.6, Core i5,8,SSD,256,0,Intel,windows,1.62,43636
25,HP,Ultrabook,15.6,1920,1080,0,Intel,1.8, Core i7,8,SSD,256,0,Intel,windows,1.91,35112
